ave_dist = 0.056558
BDist  weight    BDist*weight   Percent
0.071666  0.021552  0.001545           2.73%
0.037590  0.015086  0.000567           1.00%
0.082778  0.015086  0.001249           2.21%
0.061712  0.019397  0.001197           2.12%
0.113781  0.023707  0.002697           4.77%
0.107296  0.019397  0.002081           3.68%
0.064565  0.019397  0.001252           2.21%
0.189342  0.015086  0.002856           5.05%
0.089097  0.015086  0.001344           2.38%
0.077985  0.028017  0.002185           3.86%
0.039370  0.017241  0.000679           1.20%
0.115696  0.019397  0.002244           3.97%
0.044493  0.036638  0.001630           2.88%
0.027187  0.036638  0.000996           1.76%
0.147947  0.019397  0.002870           5.07%
0.028855  0.028017  0.000808           1.43%
0.052744  0.019397  0.001023           1.81%
0.034732  0.028017  0.000973           1.72%
0.018378  0.030172  0.000555           0.98%
0.042393  0.023707  0.001005           1.78%
0.033522  0.028017  0.000939           1.66%
0.047678  0.025862  0.001233           2.18%
0.037748  0.030172  0.001139           2.01%
0.041160  0.028017  0.001153           2.04%
0.049424  0.023707  0.001172           2.07%
0.028305  0.021552  0.000610           1.08%
0.040541  0.015086  0.000612           1.08%
0.024396  0.023707  0.000578           1.02%
0.179820  0.023707  0.004263           7.54%
0.029887  0.023707  0.000709           1.25%
0.026591  0.025862  0.000688           1.22%
0.041759  0.019397  0.000810           1.43%
0.032044  0.023707  0.000760           1.34%
0.020692  0.030172  0.000624           1.10%
0.028396  0.019397  0.000551           0.97%
0.049918  0.023707  0.001183           2.09%
0.028916  0.030172  0.000872           1.54%
0.045932  0.015086  0.000693           1.23%
0.030073  0.017241  0.000519           0.92%
0.033521  0.017241  0.000578           1.02%
0.200855  0.017241  0.003463           6.12%
0.037352  0.015086  0.000563           1.00%
0.075456  0.019397  0.001464           2.59%
0.047514  0.015086  0.000717           1.27%
0.052736  0.017241  0.000909           1.61%
