ave_dist = 0.360776
KLDist  weight    KLDist*weight   Percent
0.303208  0.089985  0.027284           7.56%
0.299457  0.101597  0.030424           8.43%
0.338631  0.055152  0.018676           5.18%
0.336108  0.066763  0.022440           6.22%
0.298658  0.069666  0.020806           5.77%
0.393829  0.047896  0.018863           5.23%
0.303169  0.046444  0.014080           3.90%
0.357620  0.050798  0.018166           5.04%
0.369726  0.042090  0.015562           4.31%
0.368646  0.030479  0.011236           3.11%
0.362704  0.034833  0.012634           3.50%
0.399192  0.023222  0.009270           2.57%
0.407617  0.024673  0.010057           2.79%
0.403894  0.020319  0.008207           2.27%
0.402663  0.014514  0.005844           1.62%
0.441893  0.023222  0.010262           2.84%
0.378697  0.026125  0.009893           2.74%
0.413867  0.023222  0.009611           2.66%
0.439110  0.017417  0.007648           2.12%
0.363895  0.018868  0.006866           1.90%
0.483907  0.030479  0.014749           4.09%
0.410540  0.026125  0.010725           2.97%
0.427776  0.018868  0.008071           2.24%
0.408563  0.011611  0.004744           1.31%
0.366821  0.021771  0.007986           2.21%
0.426210  0.018868  0.008042           2.23%
0.418700  0.011611  0.004862           1.35%
0.388940  0.011611  0.004516           1.25%
0.428586  0.011611  0.004976           1.38%
0.420806  0.010160  0.004275           1.19%
