ave_dist = 0.051350
WassDist  weight    WassDist*weight   Percent
0.040510  0.021552  0.000873           1.70%
0.058999  0.015086  0.000890           1.73%
0.095379  0.015086  0.001439           2.80%
0.036580  0.019397  0.000710           1.38%
0.045034  0.023707  0.001068           2.08%
0.102826  0.019397  0.001994           3.88%
0.044915  0.019397  0.000871           1.70%
0.089559  0.015086  0.001351           2.63%
0.063478  0.015086  0.000958           1.86%
0.032876  0.028017  0.000921           1.79%
0.050090  0.017241  0.000864           1.68%
0.048576  0.019397  0.000942           1.83%
0.051710  0.036638  0.001895           3.69%
0.035912  0.036638  0.001316           2.56%
0.060534  0.019397  0.001174           2.29%
0.030319  0.028017  0.000849           1.65%
0.048236  0.019397  0.000936           1.82%
0.055321  0.028017  0.001550           3.02%
0.049276  0.030172  0.001487           2.90%
0.081957  0.023707  0.001943           3.78%
0.033229  0.028017  0.000931           1.81%
0.043787  0.025862  0.001132           2.21%
0.029472  0.030172  0.000889           1.73%
0.033357  0.028017  0.000935           1.82%
0.049439  0.023707  0.001172           2.28%
0.042387  0.021552  0.000914           1.78%
0.056645  0.015086  0.000855           1.66%
0.040452  0.023707  0.000959           1.87%
0.062099  0.023707  0.001472           2.87%
0.037387  0.023707  0.000886           1.73%
0.051087  0.025862  0.001321           2.57%
0.040805  0.019397  0.000791           1.54%
0.044219  0.023707  0.001048           2.04%
0.068404  0.030172  0.002064           4.02%
0.071125  0.019397  0.001380           2.69%
0.029354  0.023707  0.000696           1.36%
0.025351  0.030172  0.000765           1.49%
0.048998  0.015086  0.000739           1.44%
0.079011  0.017241  0.001362           2.65%
0.060032  0.017241  0.001035           2.02%
0.062396  0.017241  0.001076           2.10%
0.045363  0.015086  0.000684           1.33%
0.083422  0.019397  0.001618           3.15%
0.073390  0.015086  0.001107           2.16%
0.086311  0.017241  0.001488           2.90%
