ave_dist = 0.543256
KLDist  weight    KLDist*weight   Percent
0.521308  0.021552  0.011235           2.07%
0.506757  0.015086  0.007645           1.41%
0.560949  0.015086  0.008463           1.56%
0.507583  0.019397  0.009845           1.81%
0.476503  0.023707  0.011296           2.08%
0.575849  0.019397  0.011169           2.06%
0.505168  0.019397  0.009799           1.80%
0.583991  0.015086  0.008810           1.62%
0.580046  0.015086  0.008751           1.61%
0.433807  0.028017  0.012154           2.24%
0.554604  0.017241  0.009562           1.76%
0.550441  0.019397  0.010677           1.97%
0.519907  0.036638  0.019048           3.51%
0.519550  0.036638  0.019035           3.50%
0.495910  0.019397  0.009619           1.77%
0.521827  0.028017  0.014620           2.69%
0.564986  0.019397  0.010959           2.02%
0.598176  0.028017  0.016759           3.08%
0.568019  0.030172  0.017139           3.15%
0.564329  0.023707  0.013379           2.46%
0.533967  0.028017  0.014960           2.75%
0.503903  0.025862  0.013032           2.40%
0.490814  0.030172  0.014809           2.73%
0.487086  0.028017  0.013647           2.51%
0.618847  0.023707  0.014671           2.70%
0.555774  0.021552  0.011978           2.20%
0.538671  0.015086  0.008126           1.50%
0.542501  0.023707  0.012861           2.37%
0.467692  0.023707  0.011088           2.04%
0.547722  0.023707  0.012985           2.39%
0.477486  0.025862  0.012349           2.27%
0.552421  0.019397  0.010715           1.97%
0.578934  0.023707  0.013725           2.53%
0.581045  0.030172  0.017532           3.23%
0.649320  0.019397  0.012595           2.32%
0.500606  0.023707  0.011868           2.18%
0.464957  0.030172  0.014029           2.58%
0.544516  0.015086  0.008215           1.51%
0.667380  0.017241  0.011507           2.12%
0.644124  0.017241  0.011106           2.04%
0.501626  0.017241  0.008649           1.59%
0.633414  0.015086  0.009556           1.76%
0.642153  0.019397  0.012456           2.29%
0.622897  0.015086  0.009397           1.73%
0.663530  0.017241  0.011440           2.11%
