ave_dist = 0.027313
WassDist  weight    WassDist*weight   Percent
0.025063  0.003274  0.000082           0.30%
0.045961  0.003547  0.000163           0.60%
0.082053  0.001910  0.000157           0.57%
0.042602  0.003001  0.000128           0.47%
0.050019  0.018827  0.000942           3.45%
0.036890  0.045566  0.001681           6.15%
0.067138  0.012278  0.000824           3.02%
0.050418  0.002183  0.000110           0.40%
0.024280  0.025921  0.000629           2.30%
0.035762  0.002183  0.000078           0.29%
0.056548  0.005457  0.000309           1.13%
0.037883  0.013370  0.000506           1.85%
0.098011  0.003001  0.000294           1.08%
0.045970  0.001910  0.000088           0.32%
0.028793  0.079673  0.002294           8.40%
0.049333  0.002729  0.000135           0.49%
0.026961  0.016644  0.000449           1.64%
0.045231  0.003001  0.000136           0.50%
0.040340  0.002183  0.000088           0.32%
0.036186  0.002729  0.000099           0.36%
0.032807  0.002183  0.000072           0.26%
0.028078  0.032742  0.000919           3.37%
0.052190  0.002456  0.000128           0.47%
0.035619  0.002183  0.000078           0.28%
0.045886  0.007913  0.000363           1.33%
0.074132  0.002183  0.000162           0.59%
0.041357  0.002183  0.000090           0.33%
0.015907  0.066030  0.001050           3.85%
0.024626  0.006548  0.000161           0.59%
0.066915  0.002729  0.000183           0.67%
0.020265  0.024284  0.000492           1.80%
0.079400  0.001910  0.000152           0.56%
0.043188  0.007913  0.000342           1.25%
0.015075  0.063574  0.000958           3.51%
0.050354  0.002183  0.000110           0.40%
0.051871  0.003547  0.000184           0.67%
0.034123  0.002729  0.000093           0.34%
0.050489  0.008458  0.000427           1.56%
0.037393  0.003274  0.000122           0.45%
0.104504  0.002183  0.000228           0.84%
0.011458  0.023465  0.000269           0.98%
0.061978  0.001910  0.000118           0.43%
0.050426  0.002183  0.000110           0.40%
0.047789  0.002729  0.000130           0.48%
0.008051  0.062483  0.000503           1.84%
0.043223  0.002456  0.000106           0.39%
0.021037  0.007913  0.000166           0.61%
0.051907  0.001910  0.000099           0.36%
0.023595  0.020191  0.000476           1.74%
0.034629  0.002729  0.000094           0.35%
0.060352  0.001910  0.000115           0.42%
0.024684  0.004911  0.000121           0.44%
0.010799  0.039563  0.000427           1.56%
0.045064  0.002456  0.000111           0.41%
0.031889  0.002729  0.000087           0.32%
0.016045  0.010368  0.000166           0.61%
0.055528  0.002183  0.000121           0.44%
0.009981  0.049659  0.000496           1.81%
0.027444  0.004093  0.000112           0.41%
0.019201  0.009004  0.000173           0.63%
0.020841  0.027558  0.000574           2.10%
0.026507  0.006821  0.000181           0.66%
0.042565  0.001910  0.000081           0.30%
0.022157  0.032469  0.000719           2.63%
0.044924  0.002183  0.000098           0.36%
0.044609  0.005730  0.000256           0.94%
0.023049  0.024557  0.000566           2.07%
0.034411  0.004093  0.000141           0.52%
0.031926  0.015825  0.000505           1.85%
0.049304  0.001910  0.000094           0.34%
0.024764  0.028377  0.000703           2.57%
0.054482  0.002729  0.000149           0.54%
0.031395  0.015553  0.000488           1.79%
0.032479  0.002456  0.000080           0.29%
0.035812  0.013643  0.000489           1.79%
0.040982  0.014188  0.000581           2.13%
0.054587  0.002183  0.000119           0.44%
0.057380  0.001910  0.000110           0.40%
0.039830  0.005730  0.000228           0.84%
0.058518  0.011733  0.000687           2.51%
0.037266  0.007367  0.000275           1.01%
0.020778  0.007913  0.000164           0.60%
0.062815  0.003001  0.000189           0.69%
0.047849  0.001910  0.000091           0.33%
0.034632  0.006821  0.000236           0.86%
