ave_dist = 0.471295
KLDist  weight    KLDist*weight   Percent
0.816160  0.003274  0.002672           0.57%
0.851166  0.003547  0.003019           0.64%
0.981479  0.001910  0.001875           0.40%
0.866015  0.003001  0.002599           0.55%
0.820590  0.018827  0.015449           3.28%
0.447853  0.045566  0.020407           4.33%
0.716518  0.012278  0.008798           1.87%
0.919042  0.002183  0.002006           0.43%
0.525146  0.025921  0.013612           2.89%
0.883088  0.002183  0.001928           0.41%
0.806350  0.005457  0.004400           0.93%
0.637202  0.013370  0.008519           1.81%
1.060739  0.003001  0.003184           0.68%
0.941834  0.001910  0.001799           0.38%
0.298040  0.079673  0.023746           5.04%
0.864031  0.002729  0.002358           0.50%
0.525269  0.016644  0.008743           1.86%
0.925821  0.003001  0.002779           0.59%
0.875496  0.002183  0.001911           0.41%
0.869762  0.002729  0.002373           0.50%
0.878556  0.002183  0.001918           0.41%
0.434954  0.032742  0.014241           3.02%
0.892424  0.002456  0.002191           0.46%
0.883063  0.002183  0.001928           0.41%
0.828402  0.007913  0.006555           1.39%
0.955239  0.002183  0.002085           0.44%
0.893769  0.002183  0.001951           0.41%
0.215930  0.066030  0.014258           3.03%
0.786477  0.006548  0.005150           1.09%
0.857451  0.002729  0.002340           0.50%
0.381230  0.024284  0.009258           1.96%
0.903826  0.001910  0.001726           0.37%
0.884393  0.007913  0.006998           1.48%
0.245346  0.063574  0.015598           3.31%
0.890724  0.002183  0.001944           0.41%
0.907149  0.003547  0.003218           0.68%
0.863069  0.002729  0.002355           0.50%
0.846605  0.008458  0.007161           1.52%
0.905258  0.003274  0.002964           0.63%
0.972078  0.002183  0.002122           0.45%
0.418466  0.023465  0.009819           2.08%
0.894979  0.001910  0.001709           0.36%
0.895448  0.002183  0.001955           0.41%
0.858793  0.002729  0.002343           0.50%
0.186994  0.062483  0.011684           2.48%
0.924209  0.002456  0.002270           0.48%
0.688050  0.007913  0.005444           1.16%
0.884430  0.001910  0.001689           0.36%
0.457212  0.020191  0.009232           1.96%
0.866676  0.002729  0.002365           0.50%
0.899259  0.001910  0.001718           0.36%
0.798467  0.004911  0.003922           0.83%
0.314113  0.039563  0.012427           2.64%
0.896857  0.002456  0.002202           0.47%
0.861905  0.002729  0.002352           0.50%
0.670689  0.010368  0.006954           1.48%
0.888172  0.002183  0.001939           0.41%
0.241220  0.049659  0.011979           2.54%
0.814385  0.004093  0.003333           0.71%
0.750134  0.009004  0.006754           1.43%
0.423651  0.027558  0.011675           2.48%
0.708178  0.006821  0.004831           1.02%
0.880856  0.001910  0.001682           0.36%
0.317805  0.032469  0.010319           2.19%
0.897454  0.002183  0.001959           0.42%
0.787443  0.005730  0.004512           0.96%
0.380939  0.024557  0.009355           1.98%
0.817615  0.004093  0.003346           0.71%
0.489148  0.015825  0.007741           1.64%
0.943823  0.001910  0.001803           0.38%
0.402042  0.028377  0.011409           2.42%
0.854626  0.002729  0.002332           0.49%
0.526230  0.015553  0.008184           1.74%
0.869302  0.002456  0.002135           0.45%
0.534366  0.013643  0.007290           1.55%
0.523132  0.014188  0.007422           1.57%
0.893946  0.002183  0.001951           0.41%
0.900173  0.001910  0.001719           0.36%
0.727019  0.005730  0.004166           0.88%
0.599769  0.011733  0.007037           1.49%
0.687562  0.007367  0.005065           1.07%
0.738431  0.007913  0.005843           1.24%
0.872720  0.003001  0.002619           0.56%
0.893023  0.001910  0.001706           0.36%
0.728620  0.006821  0.004970           1.05%
