ave_dist = 0.564932
KLDist  weight    KLDist*weight   Percent
0.554737  0.004027  0.002234           0.40%
0.546487  0.011075  0.006053           1.07%
0.525314  0.019331  0.010155           1.80%
0.565880  0.022755  0.012876           2.28%
0.534816  0.026178  0.014000           2.48%
0.553048  0.023157  0.012807           2.27%
0.525173  0.020942  0.010998           1.95%
0.545109  0.025574  0.013941           2.47%
0.523698  0.025977  0.013604           2.41%
0.565586  0.029803  0.016856           2.98%
0.582465  0.026379  0.015365           2.72%
0.575760  0.023762  0.013681           2.42%
0.546298  0.024164  0.013201           2.34%
0.539054  0.025574  0.013786           2.44%
0.566880  0.025373  0.014383           2.55%
0.553466  0.026178  0.014489           2.56%
0.567401  0.030608  0.017367           3.07%
0.581955  0.023157  0.013477           2.39%
0.559256  0.027185  0.015203           2.69%
0.578249  0.026581  0.015370           2.72%
0.561922  0.027185  0.015276           2.70%
0.593022  0.022553  0.013375           2.37%
0.611570  0.030810  0.018842           3.34%
0.581532  0.024366  0.014169           2.51%
0.564063  0.029199  0.016470           2.92%
0.575718  0.022755  0.013100           2.32%
0.549790  0.024164  0.013285           2.35%
0.603256  0.025977  0.015671           2.77%
0.553226  0.024970  0.013814           2.45%
0.580944  0.018727  0.010880           1.93%
0.564123  0.020137  0.011360           2.01%
0.575126  0.025574  0.014708           2.60%
0.561721  0.020942  0.011764           2.08%
0.574954  0.017318  0.009957           1.76%
0.546375  0.014901  0.008142           1.44%
0.590061  0.017922  0.010575           1.87%
0.558540  0.017318  0.009673           1.71%
0.577134  0.017922  0.010343           1.83%
0.588061  0.013492  0.007934           1.40%
0.583568  0.012686  0.007403           1.31%
0.566978  0.013089  0.007421           1.31%
0.551896  0.011277  0.006224           1.10%
0.547055  0.011679  0.006389           1.13%
0.575246  0.010874  0.006255           1.11%
0.577198  0.010270  0.005928           1.05%
0.577619  0.006444  0.003722           0.66%
0.567164  0.005638  0.003198           0.57%
0.570317  0.007048  0.004020           0.71%
0.564723  0.004833  0.002729           0.48%
0.558985  0.003423  0.001914           0.34%
0.557208  0.004229  0.002356           0.42%
0.567860  0.003222  0.001830           0.32%
0.560426  0.003625  0.002031           0.36%
0.564437  0.003021  0.001705           0.30%
0.567733  0.002416  0.001372           0.24%
0.565371  0.002215  0.001252           0.22%
