ave_dist = 0.048846
WassDist  weight    WassDist*weight   Percent
0.072219  0.021918  0.001583           3.24%
0.056080  0.019178  0.001076           2.20%
0.045136  0.021918  0.000989           2.03%
0.044695  0.024658  0.001102           2.26%
0.063847  0.027397  0.001749           3.58%
0.040458  0.057534  0.002328           4.77%
0.038242  0.030137  0.001152           2.36%
0.031327  0.038356  0.001202           2.46%
0.041024  0.038356  0.001574           3.22%
0.054597  0.032877  0.001795           3.67%
0.033702  0.046575  0.001570           3.21%
0.051077  0.032877  0.001679           3.44%
0.037051  0.054795  0.002030           4.16%
0.047263  0.038356  0.001813           3.71%
0.031436  0.057534  0.001809           3.70%
0.044214  0.052055  0.002302           4.71%
0.065869  0.024658  0.001624           3.33%
0.051475  0.041096  0.002115           4.33%
0.042953  0.032877  0.001412           2.89%
0.051555  0.027397  0.001412           2.89%
0.033650  0.043836  0.001475           3.02%
0.057603  0.019178  0.001105           2.26%
0.069468  0.041096  0.002855           5.84%
0.035405  0.049315  0.001746           3.57%
0.091419  0.024658  0.002254           4.61%
0.049109  0.024658  0.001211           2.48%
0.073899  0.024658  0.001822           3.73%
0.088412  0.021918  0.001938           3.97%
0.070519  0.030137  0.002125           4.35%
