ave_dist = 0.391353
KLDist  weight    KLDist*weight   Percent
0.385711  0.021918  0.008454           2.16%
0.415749  0.019178  0.007973           2.04%
0.410775  0.021918  0.009003           2.30%
0.368078  0.024658  0.009076           2.32%
0.378501  0.027397  0.010370           2.65%
0.346593  0.057534  0.019941           5.10%
0.375628  0.030137  0.011320           2.89%
0.374796  0.038356  0.014376           3.67%
0.373982  0.038356  0.014345           3.67%
0.421055  0.032877  0.013843           3.54%
0.407518  0.046575  0.018980           4.85%
0.409110  0.032877  0.013450           3.44%
0.391598  0.054795  0.021457           5.48%
0.396922  0.038356  0.015224           3.89%
0.348323  0.057534  0.020041           5.12%
0.323058  0.052055  0.016817           4.30%
0.426785  0.024658  0.010523           2.69%
0.405135  0.041096  0.016649           4.25%
0.429624  0.032877  0.014125           3.61%
0.368925  0.027397  0.010108           2.58%
0.387274  0.043836  0.016976           4.34%
0.395557  0.019178  0.007586           1.94%
0.451766  0.041096  0.018566           4.74%
0.365395  0.049315  0.018019           4.60%
0.443847  0.024658  0.010944           2.80%
0.388669  0.024658  0.009584           2.45%
0.433178  0.024658  0.010681           2.73%
0.442963  0.021918  0.009709           2.48%
0.438408  0.030137  0.013212           3.38%
