ave_dist = 0.032783
BDist  weight    BDist*weight   Percent
0.045659  0.021918  0.001001           3.05%
0.046444  0.019178  0.000891           2.72%
0.039383  0.021918  0.000863           2.63%
0.042980  0.024658  0.001060           3.23%
0.061988  0.027397  0.001698           5.18%
0.019099  0.057534  0.001099           3.35%
0.030725  0.030137  0.000926           2.82%
0.024321  0.038356  0.000933           2.85%
0.026094  0.038356  0.001001           3.05%
0.042086  0.032877  0.001384           4.22%
0.023243  0.046575  0.001083           3.30%
0.028546  0.032877  0.000938           2.86%
0.024757  0.054795  0.001357           4.14%
0.042741  0.038356  0.001639           5.00%
0.022194  0.057534  0.001277           3.90%
0.018303  0.052055  0.000953           2.91%
0.069764  0.024658  0.001720           5.25%
0.035960  0.041096  0.001478           4.51%
0.043247  0.032877  0.001422           4.34%
0.049936  0.027397  0.001368           4.17%
0.023132  0.043836  0.001014           3.09%
0.048033  0.019178  0.000921           2.81%
0.023017  0.041096  0.000946           2.89%
0.019294  0.049315  0.000951           2.90%
0.037855  0.024658  0.000933           2.85%
0.049464  0.024658  0.001220           3.72%
0.036122  0.024658  0.000891           2.72%
0.039682  0.021918  0.000870           2.65%
0.031427  0.030137  0.000947           2.89%
