ave_dist = 0.060204
BDist  weight    BDist*weight   Percent
0.047411  0.067633  0.003207           5.33%
0.003322  0.019324  0.000064           0.11%
0.112329  0.074879  0.008411          13.97%
0.075075  0.173913  0.013056          21.69%
0.005689  0.111111  0.000632           1.05%
0.088227  0.239130  0.021098          35.04%
0.081879  0.099034  0.008109          13.47%
0.079911  0.045894  0.003667           6.09%
0.000645  0.043478  0.000028           0.05%
0.004794  0.026570  0.000127           0.21%
0.000164  0.024155  0.000004           0.01%
0.044189  0.036232  0.001601           2.66%
0.007953  0.021739  0.000173           0.29%
0.001546  0.016908  0.000026           0.04%
