ave_dist = 0.013866
WassDist  weight    WassDist*weight   Percent
0.010271  0.067633  0.000695           5.01%
0.010089  0.019324  0.000195           1.41%
0.010267  0.074879  0.000769           5.54%
0.013978  0.173913  0.002431          17.53%
0.008888  0.111111  0.000988           7.12%
0.009215  0.239130  0.002203          15.89%
0.010915  0.099034  0.001081           7.80%
0.018875  0.045894  0.000866           6.25%
0.007775  0.043478  0.000338           2.44%
0.009739  0.026570  0.000259           1.87%
0.010840  0.024155  0.000262           1.89%
0.022548  0.036232  0.000817           5.89%
0.018915  0.021739  0.000411           2.97%
0.150914  0.016908  0.002552          18.40%
