ave_dist = 0.397932
KLDist  weight    KLDist*weight   Percent
0.270497  0.067633  0.018294           4.60%
0.385805  0.019324  0.007455           1.87%
0.279461  0.074879  0.020926           5.26%
0.373488  0.173913  0.064954          16.32%
0.462832  0.111111  0.051426          12.92%
0.399066  0.239130  0.095429          23.98%
0.471997  0.099034  0.046744          11.75%
0.450089  0.045894  0.020656           5.19%
0.447522  0.043478  0.019457           4.89%
0.403019  0.026570  0.010708           2.69%
0.423458  0.024155  0.010228           2.57%
0.429126  0.036232  0.015548           3.91%
0.419887  0.021739  0.009128           2.29%
0.412628  0.016908  0.006977           1.75%
