ave_dist = 0.042731
WassDist  weight    WassDist*weight   Percent
0.059928  0.019174  0.001149           2.69%
0.079895  0.016224  0.001296           3.03%
0.063382  0.016224  0.001028           2.41%
0.064551  0.017699  0.001142           2.67%
0.074158  0.030973  0.002297           5.38%
0.048268  0.054572  0.002634           6.16%
0.041800  0.050147  0.002096           4.91%
0.060903  0.063422  0.003863           9.04%
0.066882  0.010324  0.000691           1.62%
0.042524  0.044248  0.001882           4.40%
0.024802  0.066372  0.001646           3.85%
0.019699  0.084071  0.001656           3.88%
0.041563  0.064897  0.002697           6.31%
0.021968  0.076696  0.001685           3.94%
0.069322  0.011799  0.000818           1.91%
0.038857  0.057522  0.002235           5.23%
0.042667  0.066372  0.002832           6.63%
0.039067  0.058997  0.002305           5.39%
0.065132  0.044248  0.002882           6.74%
0.041133  0.033923  0.001395           3.27%
0.046259  0.030973  0.001433           3.35%
0.020043  0.036873  0.000739           1.73%
0.042626  0.032448  0.001383           3.24%
0.080216  0.011799  0.000947           2.22%
