ave_dist = 0.426701
KLDist  weight    KLDist*weight   Percent
0.404577  0.019174  0.007757           1.82%
0.496052  0.016224  0.008048           1.89%
0.502531  0.016224  0.008153           1.91%
0.432426  0.017699  0.007654           1.79%
0.426113  0.030973  0.013198           3.09%
0.387801  0.054572  0.021163           4.96%
0.335537  0.050147  0.016826           3.94%
0.440143  0.063422  0.027915           6.54%
0.503978  0.010324  0.005203           1.22%
0.419682  0.044248  0.018570           4.35%
0.287140  0.066372  0.019058           4.47%
0.297596  0.084071  0.025019           5.86%
0.475810  0.064897  0.030879           7.24%
0.293665  0.076696  0.022523           5.28%
0.531547  0.011799  0.006272           1.47%
0.404683  0.057522  0.023278           5.46%
0.559953  0.066372  0.037165           8.71%
0.464711  0.058997  0.027417           6.43%
0.614663  0.044248  0.027197           6.37%
0.460993  0.033923  0.015638           3.66%
0.549031  0.030973  0.017005           3.99%
0.436934  0.036873  0.016111           3.78%
0.541182  0.032448  0.017560           4.12%
0.600897  0.011799  0.007090           1.66%
