ave_dist = 0.035824
BDist  weight    BDist*weight   Percent
0.183666  0.019174  0.003522           9.83%
0.171573  0.016224  0.002784           7.77%
0.174814  0.016224  0.002836           7.92%
0.054441  0.017699  0.000964           2.69%
0.115367  0.030973  0.003573           9.97%
0.084074  0.054572  0.004588          12.81%
0.043519  0.050147  0.002182           6.09%
0.028831  0.063422  0.001829           5.10%
0.066996  0.010324  0.000692           1.93%
0.017607  0.044248  0.000779           2.17%
0.021248  0.066372  0.001410           3.94%
0.014858  0.084071  0.001249           3.49%
0.010266  0.064897  0.000666           1.86%
0.016277  0.076696  0.001248           3.48%
0.084003  0.011799  0.000991           2.77%
0.020807  0.057522  0.001197           3.34%
0.007511  0.066372  0.000499           1.39%
0.019449  0.058997  0.001147           3.20%
0.013072  0.044248  0.000578           1.61%
0.012960  0.033923  0.000440           1.23%
0.025893  0.030973  0.000802           2.24%
0.022092  0.036873  0.000815           2.27%
0.017237  0.032448  0.000559           1.56%
0.040200  0.011799  0.000474           1.32%
