ave_dist = 0.595310
KLDist  weight    KLDist*weight   Percent
0.845436  0.094801  0.080148          13.46%
0.392628  0.105505  0.041424           6.96%
0.478397  0.053517  0.025602           4.30%
0.336247  0.067278  0.022622           3.80%
0.812709  0.067278  0.054678           9.18%
0.609244  0.047401  0.028879           4.85%
0.468762  0.047401  0.022220           3.73%
0.406419  0.050459  0.020507           3.44%
0.762039  0.041284  0.031460           5.28%
0.544047  0.029052  0.015806           2.66%
0.524842  0.032110  0.016853           2.83%
0.729776  0.022936  0.016738           2.81%
0.590376  0.025994  0.015346           2.58%
0.575303  0.021407  0.012315           2.07%
0.681781  0.015291  0.010425           1.75%
0.522523  0.022936  0.011984           2.01%
0.606838  0.027523  0.016702           2.81%
0.587410  0.022936  0.013473           2.26%
0.785582  0.018349  0.014414           2.42%
0.739637  0.018349  0.013571           2.28%
0.535292  0.030581  0.016370           2.75%
0.761695  0.027523  0.020964           3.52%
0.577730  0.019878  0.011484           1.93%
0.806483  0.022936  0.018497           3.11%
0.566322  0.019878  0.011257           1.89%
0.602787  0.012232  0.007374           1.24%
0.804335  0.012232  0.009839           1.65%
0.649726  0.012232  0.007948           1.34%
0.598808  0.010703  0.006409           1.08%
