ave_dist = 0.219805
KLDist  weight    KLDist*weight   Percent
0.203419  0.109718  0.022319          10.15%
0.225947  0.134796  0.030457          13.86%
0.259422  0.087774  0.022771          10.36%
0.203213  0.097179  0.019748           8.98%
0.212418  0.094044  0.019977           9.09%
0.207657  0.075235  0.015623           7.11%
0.224271  0.043887  0.009843           4.48%
0.206335  0.065831  0.013583           6.18%
0.245919  0.043887  0.010793           4.91%
0.215529  0.031348  0.006756           3.07%
0.211179  0.037618  0.007944           3.61%
0.211021  0.034483  0.007277           3.31%
0.253437  0.025078  0.006356           2.89%
0.209625  0.021944  0.004600           2.09%
0.226123  0.025078  0.005671           2.58%
0.222522  0.021944  0.004883           2.22%
0.219399  0.021944  0.004814           2.19%
0.226574  0.028213  0.006392           2.91%
