ave_dist = 0.034423
WassDist  weight    WassDist*weight   Percent
0.023351  0.109718  0.002562           7.44%
0.017981  0.134796  0.002424           7.04%
0.041524  0.087774  0.003645          10.59%
0.021922  0.097179  0.002130           6.19%
0.018695  0.094044  0.001758           5.11%
0.029730  0.075235  0.002237           6.50%
0.036803  0.043887  0.001615           4.69%
0.021074  0.065831  0.001387           4.03%
0.051431  0.043887  0.002257           6.56%
0.039088  0.031348  0.001225           3.56%
0.059838  0.037618  0.002251           6.54%
0.067472  0.034483  0.002327           6.76%
0.101549  0.025078  0.002547           7.40%
0.064884  0.021944  0.001424           4.14%
0.053664  0.025078  0.001346           3.91%
0.059584  0.021944  0.001307           3.80%
0.036549  0.021944  0.000802           2.33%
0.041787  0.028213  0.001179           3.42%
