ave_dist = 0.030916
BDist  weight    BDist*weight   Percent
0.029443  0.109718  0.003230          10.45%
0.013530  0.134796  0.001824           5.90%
0.029892  0.087774  0.002624           8.49%
0.011497  0.097179  0.001117           3.61%
0.033891  0.094044  0.003187          10.31%
0.055743  0.075235  0.004194          13.57%
0.015955  0.043887  0.000700           2.26%
0.044963  0.065831  0.002960           9.57%
0.005661  0.043887  0.000248           0.80%
0.021095  0.031348  0.000661           2.14%
0.139290  0.037618  0.005240          16.95%
0.023669  0.034483  0.000816           2.64%
0.020744  0.025078  0.000520           1.68%
0.025778  0.021944  0.000566           1.83%
0.016825  0.025078  0.000422           1.36%
0.016069  0.021944  0.000353           1.14%
0.048110  0.021944  0.001056           3.41%
0.042457  0.028213  0.001198           3.87%
