ave_dist = 0.078537
WassDist  weight    WassDist*weight   Percent
0.043278  0.054795  0.002371           3.02%
0.093615  0.068493  0.006412           8.16%
0.152461  0.089041  0.013575          17.29%
0.224875  0.047945  0.010782          13.73%
0.128701  0.061644  0.007934          10.10%
0.045208  0.061644  0.002787           3.55%
0.057809  0.047945  0.002772           3.53%
0.057335  0.054795  0.003142           4.00%
0.050064  0.075342  0.003772           4.80%
0.050502  0.095890  0.004843           6.17%
0.056492  0.075342  0.004256           5.42%
0.057399  0.047945  0.002752           3.50%
0.063680  0.047945  0.003053           3.89%
0.057335  0.047945  0.002749           3.50%
0.059352  0.054795  0.003252           4.14%
0.059655  0.068493  0.004086           5.20%
