ave_dist = 0.032998
WassDist  weight    WassDist*weight   Percent
0.059584  0.003086  0.000184           0.56%
0.050662  0.003086  0.000156           0.47%
0.061502  0.005732  0.000353           1.07%
0.043435  0.007937  0.000345           1.04%
0.038272  0.007496  0.000287           0.87%
0.036691  0.009259  0.000340           1.03%
0.057481  0.007055  0.000406           1.23%
0.044351  0.011905  0.000528           1.60%
0.049860  0.013228  0.000660           2.00%
0.059410  0.016755  0.000995           3.02%
0.036886  0.014550  0.000537           1.63%
0.024127  0.017637  0.000426           1.29%
0.055591  0.017196  0.000956           2.90%
0.043020  0.022928  0.000986           2.99%
0.027648  0.018519  0.000512           1.55%
0.028303  0.027337  0.000774           2.34%
0.041854  0.033069  0.001384           4.19%
0.036248  0.027337  0.000991           3.00%
0.030838  0.025132  0.000775           2.35%
0.027508  0.034832  0.000958           2.90%
0.025847  0.033510  0.000866           2.62%
0.030488  0.032628  0.000995           3.01%
0.026320  0.044533  0.001172           3.55%
0.034932  0.041446  0.001448           4.39%
0.025479  0.043210  0.001101           3.34%
0.025967  0.042769  0.001111           3.37%
0.023759  0.039242  0.000932           2.83%
0.032924  0.036596  0.001205           3.65%
0.024944  0.046737  0.001166           3.53%
0.025997  0.044533  0.001158           3.51%
0.030459  0.035273  0.001074           3.26%
0.024993  0.038801  0.000970           2.94%
0.019778  0.038801  0.000767           2.33%
0.031875  0.048060  0.001532           4.64%
0.036250  0.031305  0.001135           3.44%
0.039537  0.028660  0.001133           3.43%
0.047941  0.022046  0.001057           3.20%
0.041834  0.017637  0.000738           2.24%
0.075431  0.005291  0.000399           1.21%
0.100710  0.004850  0.000488           1.48%
