ave_dist = 0.256562
KLDist  weight    KLDist*weight   Percent
0.273086  0.059467  0.016239           6.33%
0.685020  0.014429  0.009884           3.85%
0.285589  0.042851  0.012238           4.77%
0.512029  0.034543  0.017687           6.89%
0.318179  0.052908  0.016834           6.56%
0.094202  0.172278  0.016229           6.33%
0.168658  0.079580  0.013422           5.23%
0.345155  0.043725  0.015092           5.88%
0.332659  0.031482  0.010473           4.08%
0.432251  0.025798  0.011151           4.35%
0.134822  0.104504  0.014089           5.49%
0.189081  0.055094  0.010417           4.06%
0.311597  0.034980  0.010900           4.25%
0.379663  0.033231  0.012617           4.92%
0.639319  0.010494  0.006709           2.61%
0.168012  0.078706  0.013224           5.15%
0.464130  0.024049  0.011162           4.35%
0.390597  0.022737  0.008881           3.46%
0.431945  0.017053  0.007366           2.87%
0.709218  0.005684  0.004031           1.57%
0.317631  0.056406  0.017916           6.98%
