ave_dist = 0.658633
KLDist  weight    KLDist*weight   Percent
0.525502  0.003086  0.001622           0.25%
0.510655  0.003086  0.001576           0.24%
0.537858  0.005732  0.003083           0.47%
0.591300  0.007937  0.004693           0.71%
0.434052  0.007496  0.003253           0.49%
0.440700  0.009259  0.004081           0.62%
0.542573  0.007055  0.003828           0.58%
0.512963  0.011905  0.006107           0.93%
0.429629  0.013228  0.005683           0.86%
0.505246  0.016755  0.008465           1.29%
0.430200  0.014550  0.006260           0.95%
0.333017  0.017637  0.005873           0.89%
0.842474  0.017196  0.014487           2.20%
0.466786  0.022928  0.010702           1.62%
0.399790  0.018519  0.007404           1.12%
0.741564  0.027337  0.020272           3.08%
0.560016  0.033069  0.018519           2.81%
0.518630  0.027337  0.014178           2.15%
0.462245  0.025132  0.011617           1.76%
0.538134  0.034832  0.018745           2.85%
0.691621  0.033510  0.023176           3.52%
0.864297  0.032628  0.028200           4.28%
0.570054  0.044533  0.025386           3.85%
0.724992  0.041446  0.030048           4.56%
0.959816  0.043210  0.041474           6.30%
0.735167  0.042769  0.031442           4.77%
0.886328  0.039242  0.034781           5.28%
0.626183  0.036596  0.022916           3.48%
0.631989  0.046737  0.029537           4.48%
0.990004  0.044533  0.044087           6.69%
0.784349  0.035273  0.027667           4.20%
0.504914  0.038801  0.019591           2.97%
0.532323  0.038801  0.020655           3.14%
0.868773  0.048060  0.041753           6.34%
0.548061  0.031305  0.017157           2.60%
0.859121  0.028660  0.024622           3.74%
0.554577  0.022046  0.012226           1.86%
0.461871  0.017637  0.008146           1.24%
0.481745  0.005291  0.002549           0.39%
0.571633  0.004850  0.002772           0.42%
