ave_dist = 0.011001
BDist  weight    BDist*weight   Percent
0.007340  0.059467  0.000436           3.97%
0.025697  0.014429  0.000371           3.37%
0.009851  0.042851  0.000422           3.84%
0.011013  0.034543  0.000380           3.46%
0.008991  0.052908  0.000476           4.32%
0.002069  0.172278  0.000357           3.24%
0.008109  0.079580  0.000645           5.87%
0.009477  0.043725  0.000414           3.77%
0.016685  0.031482  0.000525           4.77%
0.018056  0.025798  0.000466           4.23%
0.006180  0.104504  0.000646           5.87%
0.008676  0.055094  0.000478           4.34%
0.017695  0.034980  0.000619           5.63%
0.017343  0.033231  0.000576           5.24%
0.030984  0.010494  0.000325           2.96%
0.008057  0.078706  0.000634           5.76%
0.038219  0.024049  0.000919           8.36%
0.032417  0.022737  0.000737           6.70%
0.022234  0.017053  0.000379           3.45%
0.062211  0.005684  0.000354           3.21%
0.014903  0.056406  0.000841           7.64%
