ave_dist = 0.048740
WassDist  weight    WassDist*weight   Percent
0.044842  0.023669  0.001061           2.18%
0.116713  0.026627  0.003108           6.38%
0.039351  0.026627  0.001048           2.15%
0.067813  0.044379  0.003009           6.17%
0.056068  0.026627  0.001493           3.06%
0.058485  0.029586  0.001730           3.55%
0.075207  0.023669  0.001780           3.65%
0.049396  0.062130  0.003069           6.30%
0.044181  0.020710  0.000915           1.88%
0.035984  0.029586  0.001065           2.18%
0.064379  0.035503  0.002286           4.69%
0.056718  0.029586  0.001678           3.44%
0.027298  0.076923  0.002100           4.31%
0.075469  0.020710  0.001563           3.21%
0.033592  0.026627  0.000894           1.84%
0.047732  0.038462  0.001836           3.77%
0.036096  0.085799  0.003097           6.35%
0.042439  0.035503  0.001507           3.09%
0.040806  0.026627  0.001087           2.23%
0.038349  0.041420  0.001588           3.26%
0.033967  0.044379  0.001507           3.09%
0.086277  0.026627  0.002297           4.71%
0.039652  0.085799  0.003402           6.98%
0.041780  0.026627  0.001112           2.28%
0.041348  0.035503  0.001468           3.01%
0.059207  0.026627  0.001577           3.23%
0.061775  0.023669  0.001462           3.00%
