ave_dist = 0.407891
KLDist  weight    KLDist*weight   Percent
0.373702  0.022581  0.008438           2.07%
0.392057  0.022581  0.008853           2.17%
0.369993  0.022581  0.008355           2.05%
0.422102  0.022581  0.009531           2.34%
0.384900  0.029032  0.011175           2.74%
0.410809  0.041935  0.017227           4.22%
0.438032  0.045161  0.019782           4.85%
0.458881  0.045161  0.020724           5.08%
0.388124  0.025806  0.010016           2.46%
0.389185  0.038710  0.015065           3.69%
0.414987  0.025806  0.010709           2.63%
0.423387  0.022581  0.009560           2.34%
0.418325  0.041935  0.017543           4.30%
0.339999  0.041935  0.014258           3.50%
0.409353  0.048387  0.019807           4.86%
0.449332  0.045161  0.020292           4.97%
0.435965  0.035484  0.015470           3.79%
0.417708  0.025806  0.010780           2.64%
0.406140  0.038710  0.015722           3.85%
0.396219  0.022581  0.008947           2.19%
0.495096  0.032258  0.015971           3.92%
0.423047  0.029032  0.012282           3.01%
0.350162  0.029032  0.010166           2.49%
0.329810  0.038710  0.012767           3.13%
0.411367  0.035484  0.014597           3.58%
0.429783  0.029032  0.012478           3.06%
0.375520  0.032258  0.012114           2.97%
0.409156  0.025806  0.010559           2.59%
0.395920  0.035484  0.014049           3.44%
0.463365  0.025806  0.011958           2.93%
0.385166  0.022581  0.008697           2.13%
