ave_dist = 0.297753
KLDist  weight    KLDist*weight   Percent
0.288901  0.023669  0.006838           2.30%
0.356166  0.026627  0.009484           3.19%
0.299683  0.026627  0.007980           2.68%
0.355460  0.044379  0.015775           5.30%
0.294205  0.026627  0.007834           2.63%
0.312174  0.029586  0.009236           3.10%
0.325597  0.023669  0.007706           2.59%
0.345101  0.062130  0.021441           7.20%
0.314978  0.020710  0.006523           2.19%
0.304599  0.029586  0.009012           3.03%
0.335822  0.035503  0.011923           4.00%
0.297447  0.029586  0.008800           2.96%
0.284663  0.076923  0.021897           7.35%
0.331527  0.020710  0.006866           2.31%
0.293507  0.026627  0.007815           2.62%
0.312644  0.038462  0.012025           4.04%
0.243966  0.085799  0.020932           7.03%
0.318141  0.035503  0.011295           3.79%
0.288747  0.026627  0.007689           2.58%
0.289706  0.041420  0.012000           4.03%
0.266491  0.044379  0.011827           3.97%
0.319134  0.026627  0.008498           2.85%
0.257357  0.085799  0.022081           7.42%
0.306549  0.026627  0.008163           2.74%
0.267631  0.035503  0.009502           3.19%
0.304924  0.026627  0.008119           2.73%
0.274381  0.023669  0.006494           2.18%
