ave_dist = 0.043116
BDist  weight    BDist*weight   Percent
0.049948  0.022581  0.001128           2.62%
0.034139  0.022581  0.000771           1.79%
0.067626  0.022581  0.001527           3.54%
0.051383  0.022581  0.001160           2.69%
0.039537  0.029032  0.001148           2.66%
0.046248  0.041935  0.001939           4.50%
0.017372  0.045161  0.000785           1.82%
0.022109  0.045161  0.000998           2.32%
0.032831  0.025806  0.000847           1.97%
0.022057  0.038710  0.000854           1.98%
0.033823  0.025806  0.000873           2.02%
0.045733  0.022581  0.001033           2.40%
0.018987  0.041935  0.000796           1.85%
0.022908  0.041935  0.000961           2.23%
0.016779  0.048387  0.000812           1.88%
0.015761  0.045161  0.000712           1.65%
0.020981  0.035484  0.000744           1.73%
0.034426  0.025806  0.000888           2.06%
0.026138  0.038710  0.001012           2.35%
0.066172  0.022581  0.001494           3.47%
0.223514  0.032258  0.007210          16.72%
0.041781  0.029032  0.001213           2.81%
0.027412  0.029032  0.000796           1.85%
0.019040  0.038710  0.000737           1.71%
0.095757  0.035484  0.003398           7.88%
0.079287  0.029032  0.002302           5.34%
0.051904  0.032258  0.001674           3.88%
0.030131  0.025806  0.000778           1.80%
0.021253  0.035484  0.000754           1.75%
0.089548  0.025806  0.002311           5.36%
0.064701  0.022581  0.001461           3.39%
