ave_dist = 0.031950
BDist  weight    BDist*weight   Percent
0.097668  0.023659  0.002311           7.23%
0.207344  0.015773  0.003270          10.24%
0.089410  0.026814  0.002397           7.50%
0.022127  0.034700  0.000768           2.40%
0.015769  0.047319  0.000746           2.34%
0.034530  0.028391  0.000980           3.07%
0.007322  0.130915  0.000959           3.00%
0.029048  0.052050  0.001512           4.73%
0.083109  0.067823  0.005637          17.64%
0.010637  0.058360  0.000621           1.94%
0.011654  0.058360  0.000680           2.13%
0.032129  0.023659  0.000760           2.38%
0.031115  0.048896  0.001521           4.76%
0.021590  0.082019  0.001771           5.54%
0.034493  0.017350  0.000598           1.87%
0.016603  0.045741  0.000759           2.38%
0.027795  0.018927  0.000526           1.65%
0.036145  0.033123  0.001197           3.75%
0.008041  0.070978  0.000571           1.79%
0.076142  0.015773  0.001201           3.76%
0.058030  0.014196  0.000824           2.58%
0.050219  0.011041  0.000554           1.74%
0.013053  0.052050  0.000679           2.13%
0.055107  0.011041  0.000608           1.90%
0.045034  0.011041  0.000497           1.56%
