ave_dist = 0.031761
BDist  weight    BDist*weight   Percent
0.190887  0.021912  0.004183          13.17%
0.045018  0.029880  0.001345           4.24%
0.037876  0.013944  0.000528           1.66%
0.026141  0.019920  0.000521           1.64%
0.019976  0.049801  0.000995           3.13%
0.027753  0.021912  0.000608           1.91%
0.055094  0.015936  0.000878           2.76%
0.007453  0.073705  0.000549           1.73%
0.035734  0.033865  0.001210           3.81%
0.023539  0.037849  0.000891           2.81%
0.022646  0.017928  0.000406           1.28%
0.017992  0.033865  0.000609           1.92%
0.018978  0.111554  0.002117           6.67%
0.039680  0.027888  0.001107           3.48%
0.023620  0.025896  0.000612           1.93%
0.003789  0.067729  0.000257           0.81%
0.109943  0.025896  0.002847           8.96%
0.020788  0.023904  0.000497           1.56%
0.062359  0.015936  0.000994           3.13%
0.005568  0.127490  0.000710           2.23%
0.059347  0.013944  0.000828           2.61%
0.074459  0.029880  0.002225           7.01%
0.018608  0.021912  0.000408           1.28%
0.052141  0.017928  0.000935           2.94%
0.030107  0.023904  0.000720           2.27%
0.032768  0.057769  0.001893           5.96%
0.048222  0.021912  0.001057           3.33%
0.115051  0.015936  0.001833           5.77%
