ave_dist = 0.523160
KLDist  weight    KLDist*weight   Percent
0.423250  0.023659  0.010014           1.91%
0.467726  0.015773  0.007377           1.41%
0.444886  0.026814  0.011929           2.28%
0.509784  0.034700  0.017690           3.38%
0.532786  0.047319  0.025211           4.82%
0.438142  0.028391  0.012439           2.38%
0.598087  0.130915  0.078298          14.97%
0.460377  0.052050  0.023963           4.58%
0.495957  0.067823  0.033637           6.43%
0.565801  0.058360  0.033020           6.31%
0.513424  0.058360  0.029963           5.73%
0.477515  0.023659  0.011298           2.16%
0.640047  0.048896  0.031296           5.98%
0.531120  0.082019  0.043562           8.33%
0.515264  0.017350  0.008940           1.71%
0.474874  0.045741  0.021721           4.15%
0.490720  0.018927  0.009288           1.78%
0.481654  0.033123  0.015954           3.05%
0.556231  0.070978  0.039480           7.55%
0.476701  0.015773  0.007519           1.44%
0.454546  0.014196  0.006453           1.23%
0.491479  0.011041  0.005426           1.04%
0.527418  0.052050  0.027452           5.25%
0.491558  0.011041  0.005427           1.04%
0.525528  0.011041  0.005802           1.11%
