ave_dist = 0.696952
KLDist  weight    KLDist*weight   Percent
0.841418  0.021912  0.018437           2.65%
0.682791  0.029880  0.020402           2.93%
0.791668  0.013944  0.011039           1.58%
0.671532  0.019920  0.013377           1.92%
0.522155  0.049801  0.026004           3.73%
0.742178  0.021912  0.016263           2.33%
0.769519  0.015936  0.012263           1.76%
0.569265  0.073705  0.041958           6.02%
0.681893  0.033865  0.023092           3.31%
0.515831  0.037849  0.019523           2.80%
0.775788  0.017928  0.013909           2.00%
0.607731  0.033865  0.020581           2.95%
0.382366  0.111554  0.042654           6.12%
0.770824  0.027888  0.021497           3.08%
0.685840  0.025896  0.017761           2.55%
0.655542  0.067729  0.044399           6.37%
0.765638  0.025896  0.019827           2.84%
0.889543  0.023904  0.021264           3.05%
0.718510  0.015936  0.011450           1.64%
0.645058  0.127490  0.082238          11.80%
0.836736  0.013944  0.011668           1.67%
1.270091  0.029880  0.037951           5.45%
0.847009  0.021912  0.018560           2.66%
0.741665  0.017928  0.013297           1.91%
0.719439  0.023904  0.017198           2.47%
1.104302  0.057769  0.063794           9.15%
0.952408  0.021912  0.020870           2.99%
0.983637  0.015936  0.015675           2.25%
