ave_dist = 0.034435
WassDist  weight    WassDist*weight   Percent
0.057255  0.023659  0.001355           3.93%
0.079597  0.015773  0.001255           3.65%
0.043278  0.026814  0.001160           3.37%
0.036688  0.034700  0.001273           3.70%
0.020714  0.047319  0.000980           2.85%
0.031903  0.028391  0.000906           2.63%
0.022257  0.130915  0.002914           8.46%
0.025569  0.052050  0.001331           3.86%
0.045692  0.067823  0.003099           9.00%
0.029789  0.058360  0.001738           5.05%
0.022485  0.058360  0.001312           3.81%
0.038438  0.023659  0.000909           2.64%
0.040562  0.048896  0.001983           5.76%
0.021051  0.082019  0.001727           5.01%
0.045225  0.017350  0.000785           2.28%
0.028389  0.045741  0.001299           3.77%
0.036782  0.018927  0.000696           2.02%
0.025033  0.033123  0.000829           2.41%
0.051789  0.070978  0.003676          10.67%
0.035689  0.015773  0.000563           1.63%
0.045648  0.014196  0.000648           1.88%
0.036701  0.011041  0.000405           1.18%
0.047308  0.052050  0.002462           7.15%
0.035800  0.011041  0.000395           1.15%
0.066483  0.011041  0.000734           2.13%
