ave_dist = 0.033533
WassDist  weight    WassDist*weight   Percent
0.059276  0.021912  0.001299           3.87%
0.027783  0.029880  0.000830           2.48%
0.031245  0.013944  0.000436           1.30%
0.041200  0.019920  0.000821           2.45%
0.022761  0.049801  0.001134           3.38%
0.035132  0.021912  0.000770           2.30%
0.042895  0.015936  0.000684           2.04%
0.021174  0.073705  0.001561           4.65%
0.031604  0.033865  0.001070           3.19%
0.033615  0.037849  0.001272           3.79%
0.030779  0.017928  0.000552           1.65%
0.025976  0.033865  0.000880           2.62%
0.016811  0.111554  0.001875           5.59%
0.030148  0.027888  0.000841           2.51%
0.025139  0.025896  0.000651           1.94%
0.021954  0.067729  0.001487           4.43%
0.037384  0.025896  0.000968           2.89%
0.035940  0.023904  0.000859           2.56%
0.033535  0.015936  0.000534           1.59%
0.017252  0.127490  0.002199           6.56%
0.030031  0.013944  0.000419           1.25%
0.148598  0.029880  0.004440          13.24%
0.030253  0.021912  0.000663           1.98%
0.027290  0.017928  0.000489           1.46%
0.020677  0.023904  0.000494           1.47%
0.076853  0.057769  0.004440          13.24%
0.053401  0.021912  0.001170           3.49%
0.043642  0.015936  0.000695           2.07%
