ave_dist = 0.067401
WassDist  weight    WassDist*weight   Percent
0.088525  0.000722  0.000064           0.09%
0.119172  0.000962  0.000115           0.17%
0.112244  0.001203  0.000135           0.20%
0.119172  0.000722  0.000086           0.13%
0.088525  0.001203  0.000106           0.16%
0.112244  0.000962  0.000108           0.16%
0.119172  0.000962  0.000115           0.17%
0.119172  0.000962  0.000115           0.17%
0.088525  0.000722  0.000064           0.09%
0.112244  0.001443  0.000162           0.24%
0.112244  0.001203  0.000135           0.20%
0.112244  0.001443  0.000162           0.24%
0.119172  0.001203  0.000143           0.21%
0.119172  0.000962  0.000115           0.17%
0.119172  0.000962  0.000115           0.17%
0.112244  0.002406  0.000270           0.40%
0.119172  0.001684  0.000201           0.30%
0.112244  0.001443  0.000162           0.24%
0.119172  0.001924  0.000229           0.34%
0.112244  0.003127  0.000351           0.52%
0.088525  0.001203  0.000106           0.16%
0.112244  0.001443  0.000162           0.24%
0.110009  0.002646  0.000291           0.43%
0.101718  0.004571  0.000465           0.69%
0.112244  0.004330  0.000486           0.72%
0.112244  0.002165  0.000243           0.36%
0.081475  0.003127  0.000255           0.38%
0.112244  0.003368  0.000378           0.56%
0.112244  0.003368  0.000378           0.56%
0.062030  0.001684  0.000104           0.15%
0.088525  0.003608  0.000319           0.47%
0.112244  0.003849  0.000432           0.64%
0.112244  0.004330  0.000486           0.72%
0.101133  0.004330  0.000438           0.65%
0.103153  0.005292  0.000546           0.81%
0.100918  0.005292  0.000534           0.79%
0.098911  0.003608  0.000357           0.53%
0.048525  0.003608  0.000175           0.26%
0.076025  0.007698  0.000585           0.87%
0.112244  0.004811  0.000540           0.80%
0.094063  0.007938  0.000747           1.11%
0.112244  0.004571  0.000513           0.76%
0.108574  0.009141  0.000992           1.47%
0.092244  0.009622  0.000888           1.32%
0.096023  0.006255  0.000601           0.89%
0.101453  0.008179  0.000830           1.23%
0.094063  0.005292  0.000498           0.74%
0.086157  0.005533  0.000477           0.71%
0.094100  0.007698  0.000724           1.07%
0.080244  0.006014  0.000483           0.72%
0.112434  0.007217  0.000811           1.20%
0.091323  0.008660  0.000791           1.17%
0.098451  0.006976  0.000687           1.02%
0.087521  0.009141  0.000800           1.19%
0.106600  0.007698  0.000821           1.22%
0.067244  0.009622  0.000647           0.96%
0.105893  0.012750  0.001350           2.00%
0.060480  0.006976  0.000422           0.63%
0.065767  0.014433  0.000949           1.41%
0.065612  0.010344  0.000679           1.01%
0.062238  0.012268  0.000764           1.13%
0.040839  0.011066  0.000452           0.67%
0.042434  0.014433  0.000612           0.91%
0.068331  0.015636  0.001068           1.59%
0.040906  0.010103  0.000413           0.61%
0.063998  0.011787  0.000754           1.12%
0.006129  0.011066  0.000068           0.10%
0.054379  0.009863  0.000536           0.80%
0.039143  0.019485  0.000763           1.13%
0.019632  0.013952  0.000274           0.41%
0.035192  0.010825  0.000381           0.57%
0.036912  0.014915  0.000551           0.82%
0.041323  0.017320  0.000716           1.06%
0.023661  0.017801  0.000421           0.62%
0.020032  0.017561  0.000352           0.52%
0.030344  0.013231  0.000401           0.60%
0.036122  0.011306  0.000408           0.61%
0.023685  0.013712  0.000325           0.48%
0.022568  0.022612  0.000510           0.76%
0.036525  0.012028  0.000439           0.65%
0.018828  0.015877  0.000299           0.44%
0.053213  0.015636  0.000832           1.23%
0.056952  0.019004  0.001082           1.61%
0.031608  0.022372  0.000707           1.05%
0.049467  0.022131  0.001095           1.62%
0.057348  0.015396  0.000883           1.31%
0.082883  0.016839  0.001396           2.07%
0.066209  0.016117  0.001067           1.58%
0.117181  0.020929  0.002452           3.64%
0.051098  0.015396  0.000787           1.17%
0.057931  0.018042  0.001045           1.55%
0.082537  0.015877  0.001310           1.94%
0.057563  0.020929  0.001205           1.79%
0.071576  0.022612  0.001619           2.40%
0.108074  0.018764  0.002028           3.01%
0.061613  0.015155  0.000934           1.39%
0.078253  0.013952  0.001092           1.62%
0.116243  0.016839  0.001957           2.90%
0.087228  0.017561  0.001532           2.27%
0.062672  0.012990  0.000814           1.21%
0.071931  0.011547  0.000831           1.23%
0.073446  0.007938  0.000583           0.87%
0.081621  0.010344  0.000844           1.25%
0.059565  0.007457  0.000444           0.66%
0.068598  0.007217  0.000495           0.73%
0.092785  0.004571  0.000424           0.63%
0.084250  0.005533  0.000466           0.69%
0.100582  0.006495  0.000653           0.97%
0.111957  0.006736  0.000754           1.12%
0.066541  0.004571  0.000304           0.45%
0.083836  0.005052  0.000424           0.63%
0.091828  0.002646  0.000243           0.36%
0.081931  0.007217  0.000591           0.88%
0.055264  0.003608  0.000199           0.30%
0.055264  0.002165  0.000120           0.18%
0.079100  0.002406  0.000190           0.28%
0.094100  0.001924  0.000181           0.27%
0.099100  0.001203  0.000119           0.18%
0.063598  0.001924  0.000122           0.18%
0.055264  0.000722  0.000040           0.06%
0.119172  0.000722  0.000086           0.13%
