ave_dist = 0.066572
WassDist  weight    WassDist*weight   Percent
0.104702  0.001200  0.000126           0.19%
0.116987  0.001440  0.000168           0.25%
0.116987  0.001440  0.000168           0.25%
0.112912  0.003119  0.000352           0.53%
0.104702  0.002639  0.000276           0.42%
0.104702  0.004319  0.000452           0.68%
0.104702  0.005998  0.000628           0.94%
0.104702  0.006238  0.000653           0.98%
0.099574  0.009357  0.000932           1.40%
0.091937  0.011276  0.001037           1.56%
0.098145  0.014635  0.001436           2.16%
0.094176  0.018234  0.001717           2.58%
0.099297  0.017754  0.001763           2.65%
0.134376  0.029750  0.003998           6.01%
0.095911  0.021833  0.002094           3.15%
0.088151  0.034789  0.003067           4.61%
0.109673  0.027351  0.003000           4.51%
0.067665  0.032390  0.002192           3.29%
0.082605  0.031910  0.002636           3.96%
0.057290  0.040547  0.002323           3.49%
0.054800  0.048464  0.002656           3.99%
0.046073  0.040547  0.001868           2.81%
0.030169  0.045345  0.001368           2.05%
0.033959  0.052783  0.001792           2.69%
0.035338  0.043666  0.001543           2.32%
0.033704  0.064060  0.002159           3.24%
0.056960  0.052063  0.002966           4.45%
0.056775  0.049184  0.002792           4.19%
0.060713  0.046305  0.002811           4.22%
0.026775  0.038388  0.001028           1.54%
0.074406  0.050624  0.003767           5.66%
0.048531  0.031430  0.001525           2.29%
0.134538  0.024712  0.003325           4.99%
0.071921  0.024712  0.001777           2.67%
0.063955  0.018714  0.001197           1.80%
0.129626  0.016315  0.002115           3.18%
0.065664  0.010797  0.000709           1.06%
0.063732  0.005518  0.000352           0.53%
0.132283  0.007438  0.000984           1.48%
0.047364  0.004079  0.000193           0.29%
0.053699  0.003119  0.000167           0.25%
0.095988  0.002399  0.000230           0.35%
0.076775  0.001440  0.000111           0.17%
0.085988  0.000960  0.000083           0.12%
0.050320  0.000720  0.000036           0.05%
