ave_dist = 0.066352
WassDist  weight    WassDist*weight   Percent
0.112931  0.003142  0.000355           0.53%
0.105220  0.002658  0.000280           0.42%
0.105220  0.004350  0.000458           0.69%
0.105220  0.006042  0.000636           0.96%
0.105220  0.006283  0.000661           1.00%
0.100092  0.009425  0.000943           1.42%
0.092454  0.011358  0.001050           1.58%
0.098663  0.014741  0.001454           2.19%
0.094694  0.018366  0.001739           2.62%
0.099815  0.017883  0.001785           2.69%
0.134395  0.029966  0.004027           6.07%
0.096429  0.021991  0.002121           3.20%
0.088668  0.035041  0.003107           4.68%
0.109692  0.027550  0.003022           4.55%
0.068183  0.032624  0.002224           3.35%
0.082624  0.032141  0.002656           4.00%
0.057310  0.040841  0.002341           3.53%
0.054820  0.048816  0.002676           4.03%
0.045559  0.040841  0.001861           2.80%
0.029655  0.045674  0.001354           2.04%
0.033445  0.053166  0.001778           2.68%
0.034824  0.043983  0.001532           2.31%
0.033681  0.064524  0.002173           3.28%
0.056936  0.052441  0.002986           4.50%
0.056752  0.049541  0.002812           4.24%
0.060690  0.046641  0.002831           4.27%
0.026752  0.038666  0.001034           1.56%
0.074382  0.050991  0.003793           5.72%
0.048508  0.031658  0.001536           2.31%
0.134554  0.024891  0.003349           5.05%
0.071898  0.024891  0.001790           2.70%
0.063932  0.018850  0.001205           1.82%
0.129642  0.016433  0.002130           3.21%
0.065641  0.010875  0.000714           1.08%
0.063709  0.005558  0.000354           0.53%
0.132299  0.007492  0.000991           1.49%
0.047340  0.004108  0.000194           0.29%
0.053675  0.003142  0.000169           0.25%
0.096008  0.002417  0.000232           0.35%
