ave_dist = 0.401252
KLDist  weight    KLDist*weight   Percent
0.268990  0.031675  0.008520           2.12%
0.512827  0.009948  0.005101           1.27%
0.594470  0.008115  0.004824           1.20%
0.528435  0.006283  0.003320           0.83%
0.428814  0.012565  0.005388           1.34%
0.577282  0.006283  0.003627           0.90%
0.504470  0.007068  0.003566           0.89%
0.598756  0.005236  0.003135           0.78%
0.677422  0.003403  0.002305           0.57%
0.442475  0.014660  0.006487           1.62%
0.691632  0.002618  0.001811           0.45%
0.559977  0.009424  0.005277           1.32%
0.736312  0.001832  0.001349           0.34%
0.691400  0.002880  0.001991           0.50%
0.513865  0.010733  0.005515           1.37%
0.640047  0.002618  0.001676           0.42%
0.674617  0.002618  0.001766           0.44%
0.680790  0.001832  0.001248           0.31%
0.458459  0.014921  0.006841           1.70%
0.638629  0.002618  0.001672           0.42%
0.705652  0.002618  0.001847           0.46%
0.355548  0.020942  0.007446           1.86%
0.708256  0.002356  0.001669           0.42%
0.518519  0.012565  0.006515           1.62%
0.708472  0.001832  0.001298           0.32%
0.738283  0.005236  0.003865           0.96%
0.633203  0.004450  0.002818           0.70%
0.562418  0.006806  0.003828           0.95%
0.637001  0.002880  0.001834           0.46%
0.244182  0.046335  0.011314           2.82%
0.454312  0.009686  0.004400           1.10%
0.759648  0.002356  0.001790           0.45%
0.693426  0.002356  0.001634           0.41%
0.693316  0.001832  0.001270           0.32%
0.661606  0.003403  0.002252           0.56%
0.542635  0.010209  0.005540           1.38%
0.642761  0.002618  0.001683           0.42%
0.694387  0.003403  0.002363           0.59%
0.143707  0.073560  0.010571           2.63%
0.700249  0.001832  0.001283           0.32%
0.673322  0.003927  0.002644           0.66%
0.506099  0.010471  0.005299           1.32%
0.261294  0.032461  0.008482           2.11%
0.567180  0.006283  0.003563           0.89%
0.650615  0.001832  0.001192           0.30%
0.252110  0.056806  0.014321           3.57%
0.614773  0.004188  0.002575           0.64%
0.245005  0.037435  0.009172           2.29%
0.687946  0.002094  0.001441           0.36%
0.338521  0.035340  0.011963           2.98%
0.531398  0.006545  0.003478           0.87%
0.620477  0.003141  0.001949           0.49%
0.374164  0.025131  0.009403           2.34%
0.564635  0.005497  0.003104           0.77%
0.191238  0.058639  0.011214           2.79%
0.703000  0.001832  0.001288           0.32%
0.579462  0.016754  0.009708           2.42%
0.693283  0.002094  0.001452           0.36%
0.529759  0.006283  0.003328           0.83%
0.572627  0.009686  0.005546           1.38%
0.567652  0.010209  0.005795           1.44%
0.676707  0.002618  0.001771           0.44%
0.595582  0.005497  0.003274           0.82%
0.191158  0.057592  0.011009           2.74%
0.667051  0.001832  0.001222           0.30%
0.662242  0.002618  0.001734           0.43%
0.659622  0.006021  0.003972           0.99%
0.580824  0.004188  0.002433           0.61%
0.683020  0.002880  0.001967           0.49%
0.397231  0.022775  0.009047           2.25%
0.715688  0.002094  0.001499           0.37%
0.678609  0.004974  0.003375           0.84%
0.692918  0.002618  0.001814           0.45%
0.423209  0.035340  0.014956           3.73%
0.711268  0.002356  0.001676           0.42%
0.669225  0.002094  0.001402           0.35%
0.773535  0.001832  0.001417           0.35%
0.366312  0.020942  0.007671           1.91%
0.401052  0.017539  0.007034           1.75%
0.635622  0.005759  0.003661           0.91%
0.589555  0.013874  0.008180           2.04%
0.689516  0.002356  0.001625           0.40%
0.498700  0.018586  0.009269           2.31%
0.670808  0.006283  0.004215           1.05%
0.709020  0.003927  0.002784           0.69%
0.553144  0.005759  0.003186           0.79%
0.690745  0.002356  0.001627           0.41%
0.673715  0.002880  0.001940           0.48%
0.599225  0.012827  0.007686           1.92%
0.668915  0.002618  0.001751           0.44%
0.659316  0.002094  0.001381           0.34%
0.657251  0.003665  0.002409           0.60%
0.695522  0.002880  0.002003           0.50%
0.654396  0.002880  0.001884           0.47%
0.663511  0.002356  0.001563           0.39%
0.685660  0.001832  0.001256           0.31%
