ave_dist = 0.419633
KLDist  weight    KLDist*weight   Percent
0.418890  0.004403  0.001844           0.44%
0.419530  0.004002  0.001679           0.40%
0.418226  0.001801  0.000753           0.18%
0.418655  0.002602  0.001089           0.26%
0.418285  0.004203  0.001758           0.42%
0.419710  0.003202  0.001344           0.32%
0.416072  0.004803  0.001998           0.48%
0.417786  0.005603  0.002341           0.56%
0.416236  0.005403  0.002249           0.54%
0.420261  0.006604  0.002775           0.66%
0.419034  0.008205  0.003438           0.82%
0.418435  0.009206  0.003852           0.92%
0.418699  0.010206  0.004273           1.02%
0.408547  0.010006  0.004088           0.97%
0.406203  0.017410  0.007072           1.69%
0.407263  0.016410  0.006683           1.59%
0.403441  0.017811  0.007186           1.71%
0.409099  0.019612  0.008023           1.91%
0.413632  0.019412  0.008029           1.91%
0.417997  0.021413  0.008951           2.13%
0.414329  0.021613  0.008955           2.13%
0.406706  0.025015  0.010174           2.42%
0.420794  0.026216  0.011031           2.63%
0.407783  0.025415  0.010364           2.47%
0.416920  0.020012  0.008343           1.99%
0.420269  0.023814  0.010008           2.39%
0.416367  0.024615  0.010249           2.44%
0.399190  0.023614  0.009427           2.25%
0.415192  0.023614  0.009804           2.34%
0.408011  0.027617  0.011268           2.69%
0.415536  0.027216  0.011309           2.70%
0.403820  0.028617  0.011556           2.75%
0.416059  0.020812  0.008659           2.06%
0.428066  0.021613  0.009252           2.20%
0.423806  0.022013  0.009329           2.22%
0.418086  0.025415  0.010626           2.53%
0.420265  0.022413  0.009420           2.24%
0.428436  0.018411  0.007888           1.88%
0.415791  0.014409  0.005991           1.43%
0.430202  0.016810  0.007232           1.72%
0.423749  0.014409  0.006106           1.45%
0.430978  0.016410  0.007072           1.69%
0.428900  0.012808  0.005493           1.31%
0.429541  0.015609  0.006705           1.60%
0.418990  0.015209  0.006372           1.52%
0.428665  0.014209  0.006091           1.45%
0.428807  0.014809  0.006350           1.51%
0.430599  0.015809  0.006808           1.62%
0.439093  0.016810  0.007381           1.76%
0.431764  0.014209  0.006135           1.46%
0.425206  0.012608  0.005361           1.28%
0.428325  0.014609  0.006257           1.49%
0.427640  0.010606  0.004536           1.08%
0.436856  0.012007  0.005245           1.25%
0.439065  0.016210  0.007117           1.70%
0.428608  0.013008  0.005575           1.33%
0.419262  0.012407  0.005202           1.24%
0.433457  0.015009  0.006506           1.55%
0.426048  0.009406  0.004007           0.95%
0.429385  0.009806  0.004210           1.00%
0.431386  0.009406  0.004057           0.97%
0.429716  0.009806  0.004214           1.00%
0.430197  0.007605  0.003271           0.78%
0.424434  0.005803  0.002463           0.59%
0.427566  0.006004  0.002567           0.61%
0.421348  0.007204  0.003036           0.72%
0.422587  0.004603  0.001945           0.46%
0.419906  0.004002  0.001681           0.40%
0.416517  0.003202  0.001334           0.32%
0.421547  0.002602  0.001097           0.26%
0.418366  0.002201  0.000921           0.22%
0.417494  0.002802  0.001170           0.28%
0.419841  0.002001  0.000840           0.20%
0.418777  0.001401  0.000587           0.14%
0.423270  0.003802  0.001609           0.38%
