ave_dist = 0.025753
BDist  weight    BDist*weight   Percent
0.010989  0.031675  0.000348           1.35%
0.030549  0.009948  0.000304           1.18%
0.031485  0.008115  0.000256           0.99%
0.039584  0.006283  0.000249           0.97%
0.036756  0.012565  0.000462           1.79%
0.032510  0.006283  0.000204           0.79%
0.051351  0.007068  0.000363           1.41%
0.057738  0.005236  0.000302           1.17%
0.048981  0.003403  0.000167           0.65%
0.034193  0.014660  0.000501           1.95%
0.064251  0.002618  0.000168           0.65%
0.065933  0.009424  0.000621           2.41%
0.077343  0.001832  0.000142           0.55%
0.093507  0.002880  0.000269           1.05%
0.027386  0.010733  0.000294           1.14%
0.104177  0.002618  0.000273           1.06%
0.103118  0.002618  0.000270           1.05%
0.074223  0.001832  0.000136           0.53%
0.042381  0.014921  0.000632           2.46%
0.081335  0.002618  0.000213           0.83%
0.073828  0.002618  0.000193           0.75%
0.036392  0.020942  0.000762           2.96%
0.064638  0.002356  0.000152           0.59%
0.021879  0.012565  0.000275           1.07%
0.098191  0.001832  0.000180           0.70%
0.038791  0.005236  0.000203           0.79%
0.043922  0.004450  0.000195           0.76%
0.042019  0.006806  0.000286           1.11%
0.054938  0.002880  0.000158           0.61%
0.009465  0.046335  0.000439           1.70%
0.030907  0.009686  0.000299           1.16%
0.067858  0.002356  0.000160           0.62%
0.084790  0.002356  0.000200           0.78%
0.079980  0.001832  0.000147           0.57%
0.055837  0.003403  0.000190           0.74%
0.026159  0.010209  0.000267           1.04%
0.060421  0.002618  0.000158           0.61%
0.054370  0.003403  0.000185           0.72%
0.007980  0.073560  0.000587           2.28%
0.124760  0.001832  0.000229           0.89%
0.057823  0.003927  0.000227           0.88%
0.034480  0.010471  0.000361           1.40%
0.017395  0.032461  0.000565           2.19%
0.049571  0.006283  0.000311           1.21%
0.286553  0.001832  0.000525           2.04%
0.007952  0.056806  0.000452           1.75%
0.068150  0.004188  0.000285           1.11%
0.010447  0.037435  0.000391           1.52%
0.075776  0.002094  0.000159           0.62%
0.010074  0.035340  0.000356           1.38%
0.031208  0.006545  0.000204           0.79%
0.056823  0.003141  0.000179           0.69%
0.014589  0.025131  0.000367           1.42%
0.063933  0.005497  0.000351           1.36%
0.007816  0.058639  0.000458           1.78%
0.088335  0.001832  0.000162           0.63%
0.018535  0.016754  0.000311           1.21%
0.093108  0.002094  0.000195           0.76%
0.048785  0.006283  0.000307           1.19%
0.025264  0.009686  0.000245           0.95%
0.024958  0.010209  0.000255           0.99%
0.058823  0.002618  0.000154           0.60%
0.041581  0.005497  0.000229           0.89%
0.008839  0.057592  0.000509           1.98%
0.083449  0.001832  0.000153           0.59%
0.063710  0.002618  0.000167           0.65%
0.046203  0.006021  0.000278           1.08%
0.048987  0.004188  0.000205           0.80%
0.075808  0.002880  0.000218           0.85%
0.012469  0.022775  0.000284           1.10%
0.069043  0.002094  0.000145           0.56%
0.041691  0.004974  0.000207           0.81%
0.061584  0.002618  0.000161           0.63%
0.008714  0.035340  0.000308           1.20%
0.061318  0.002356  0.000144           0.56%
0.086550  0.002094  0.000181           0.70%
0.097896  0.001832  0.000179           0.70%
0.016158  0.020942  0.000338           1.31%
0.016214  0.017539  0.000284           1.10%
0.035551  0.005759  0.000205           0.80%
0.018509  0.013874  0.000257           1.00%
0.073629  0.002356  0.000173           0.67%
0.016411  0.018586  0.000305           1.18%
0.039800  0.006283  0.000250           0.97%
0.047064  0.003927  0.000185           0.72%
0.040346  0.005759  0.000232           0.90%
0.072122  0.002356  0.000170           0.66%
0.058301  0.002880  0.000168           0.65%
0.019928  0.012827  0.000256           0.99%
0.087878  0.002618  0.000230           0.89%
0.067331  0.002094  0.000141           0.55%
0.051842  0.003665  0.000190           0.74%
0.059852  0.002880  0.000172           0.67%
0.070002  0.002880  0.000202           0.78%
0.078487  0.002356  0.000185           0.72%
0.099413  0.001832  0.000182           0.71%
