ave_dist = 0.025248
WassDist  weight    WassDist*weight   Percent
0.010703  0.031675  0.000339           1.34%
0.032148  0.009948  0.000320           1.27%
0.033963  0.008115  0.000276           1.09%
0.037307  0.006283  0.000234           0.93%
0.027377  0.012565  0.000344           1.36%
0.033517  0.006283  0.000211           0.83%
0.030106  0.007068  0.000213           0.84%
0.027837  0.005236  0.000146           0.58%
0.038977  0.003403  0.000133           0.53%
0.024177  0.014660  0.000354           1.40%
0.048453  0.002618  0.000127           0.50%
0.044806  0.009424  0.000422           1.67%
0.084918  0.001832  0.000156           0.62%
0.066188  0.002880  0.000191           0.75%
0.024474  0.010733  0.000263           1.04%
0.044200  0.002618  0.000116           0.46%
0.042805  0.002618  0.000112           0.44%
0.044508  0.001832  0.000082           0.32%
0.036838  0.014921  0.000550           2.18%
0.048623  0.002618  0.000127           0.50%
0.051265  0.002618  0.000134           0.53%
0.036237  0.020942  0.000759           3.01%
0.050135  0.002356  0.000118           0.47%
0.018032  0.012565  0.000227           0.90%
0.066084  0.001832  0.000121           0.48%
0.064536  0.005236  0.000338           1.34%
0.025566  0.004450  0.000114           0.45%
0.026728  0.006806  0.000182           0.72%
0.036078  0.002880  0.000104           0.41%
0.012040  0.046335  0.000558           2.21%
0.021638  0.009686  0.000210           0.83%
0.100523  0.002356  0.000237           0.94%
0.067145  0.002356  0.000158           0.63%
0.038404  0.001832  0.000070           0.28%
0.031396  0.003403  0.000107           0.42%
0.016907  0.010209  0.000173           0.68%
0.039570  0.002618  0.000104           0.41%
0.053371  0.003403  0.000182           0.72%
0.014809  0.073560  0.001089           4.31%
0.064469  0.001832  0.000118           0.47%
0.049894  0.003927  0.000196           0.78%
0.026721  0.010471  0.000280           1.11%
0.016971  0.032461  0.000551           2.18%
0.026245  0.006283  0.000165           0.65%
0.073775  0.001832  0.000135           0.54%
0.015004  0.056806  0.000852           3.38%
0.046537  0.004188  0.000195           0.77%
0.013815  0.037435  0.000517           2.05%
0.047417  0.002094  0.000099           0.39%
0.021392  0.035340  0.000756           2.99%
0.033443  0.006545  0.000219           0.87%
0.038591  0.003141  0.000121           0.48%
0.014271  0.025131  0.000359           1.42%
0.040825  0.005497  0.000224           0.89%
0.009553  0.058639  0.000560           2.22%
0.039746  0.001832  0.000073           0.29%
0.039853  0.016754  0.000668           2.64%
0.057925  0.002094  0.000121           0.48%
0.041499  0.006283  0.000261           1.03%
0.028197  0.009686  0.000273           1.08%
0.026667  0.010209  0.000272           1.08%
0.036052  0.002618  0.000094           0.37%
0.024613  0.005497  0.000135           0.54%
0.013312  0.057592  0.000767           3.04%
0.052467  0.001832  0.000096           0.38%
0.035264  0.002618  0.000092           0.37%
0.042436  0.006021  0.000256           1.01%
0.045399  0.004188  0.000190           0.75%
0.054071  0.002880  0.000156           0.62%
0.020569  0.022775  0.000468           1.86%
0.060486  0.002094  0.000127           0.50%
0.045739  0.004974  0.000227           0.90%
0.045053  0.002618  0.000118           0.47%
0.030760  0.035340  0.001087           4.31%
0.052442  0.002356  0.000124           0.49%
0.041917  0.002094  0.000088           0.35%
0.116910  0.001832  0.000214           0.85%
0.019550  0.020942  0.000409           1.62%
0.021579  0.017539  0.000378           1.50%
0.039488  0.005759  0.000227           0.90%
0.042276  0.013874  0.000587           2.32%
0.049785  0.002356  0.000117           0.46%
0.020129  0.018586  0.000374           1.48%
0.053127  0.006283  0.000334           1.32%
0.056879  0.003927  0.000223           0.88%
0.022706  0.005759  0.000131           0.52%
0.048494  0.002356  0.000114           0.45%
0.035419  0.002880  0.000102           0.40%
0.033600  0.012827  0.000431           1.71%
0.046253  0.002618  0.000121           0.48%
0.047791  0.002094  0.000100           0.40%
0.038651  0.003665  0.000142           0.56%
0.068158  0.002880  0.000196           0.78%
0.043333  0.002880  0.000125           0.49%
0.038782  0.002356  0.000091           0.36%
0.050628  0.001832  0.000093           0.37%
