ave_dist = 0.014038
WassDist  weight    WassDist*weight   Percent
0.015924  0.004403  0.000070           0.50%
0.016412  0.004002  0.000066           0.47%
0.016277  0.001801  0.000029           0.21%
0.017563  0.002602  0.000046           0.33%
0.011213  0.004203  0.000047           0.34%
0.020757  0.003202  0.000066           0.47%
0.013534  0.004803  0.000065           0.46%
0.010451  0.005603  0.000059           0.42%
0.011180  0.005403  0.000060           0.43%
0.013018  0.006604  0.000086           0.61%
0.015356  0.008205  0.000126           0.90%
0.016125  0.009206  0.000148           1.06%
0.008994  0.010206  0.000092           0.65%
0.015744  0.010006  0.000158           1.12%
0.015204  0.017410  0.000265           1.89%
0.013460  0.016410  0.000221           1.57%
0.015785  0.017811  0.000281           2.00%
0.013864  0.019612  0.000272           1.94%
0.011388  0.019412  0.000221           1.57%
0.013776  0.021413  0.000295           2.10%
0.012322  0.021613  0.000266           1.90%
0.011437  0.025015  0.000286           2.04%
0.012735  0.026216  0.000334           2.38%
0.011925  0.025415  0.000303           2.16%
0.010448  0.020012  0.000209           1.49%
0.007854  0.023814  0.000187           1.33%
0.008959  0.024615  0.000221           1.57%
0.012029  0.023614  0.000284           2.02%
0.007744  0.023614  0.000183           1.30%
0.008910  0.027617  0.000246           1.75%
0.012592  0.027216  0.000343           2.44%
0.013092  0.028617  0.000375           2.67%
0.007974  0.020812  0.000166           1.18%
0.016247  0.021613  0.000351           2.50%
0.007180  0.022013  0.000158           1.13%
0.009488  0.025415  0.000241           1.72%
0.008209  0.022413  0.000184           1.31%
0.010524  0.018411  0.000194           1.38%
0.011920  0.014409  0.000172           1.22%
0.012085  0.016810  0.000203           1.45%
0.011853  0.014409  0.000171           1.22%
0.012069  0.016410  0.000198           1.41%
0.046176  0.012808  0.000591           4.21%
0.012314  0.015609  0.000192           1.37%
0.006454  0.015209  0.000098           0.70%
0.018354  0.014209  0.000261           1.86%
0.008602  0.014809  0.000127           0.91%
0.015793  0.015809  0.000250           1.78%
0.010563  0.016810  0.000178           1.26%
0.014426  0.014209  0.000205           1.46%
0.010082  0.012608  0.000127           0.91%
0.012475  0.014609  0.000182           1.30%
0.011421  0.010606  0.000121           0.86%
0.052287  0.012007  0.000628           4.47%
0.028264  0.016210  0.000458           3.26%
0.016466  0.013008  0.000214           1.53%
0.008115  0.012407  0.000101           0.72%
0.013089  0.015009  0.000196           1.40%
0.010860  0.009406  0.000102           0.73%
0.029153  0.009806  0.000286           2.04%
0.017031  0.009406  0.000160           1.14%
0.014403  0.009806  0.000141           1.01%
0.054302  0.007605  0.000413           2.94%
0.021929  0.005803  0.000127           0.91%
0.040521  0.006004  0.000243           1.73%
0.014579  0.007204  0.000105           0.75%
0.019777  0.004603  0.000091           0.65%
0.010959  0.004002  0.000044           0.31%
0.010416  0.003202  0.000033           0.24%
0.039716  0.002602  0.000103           0.74%
0.024470  0.002201  0.000054           0.38%
0.012348  0.002802  0.000035           0.25%
0.017604  0.002001  0.000035           0.25%
0.054366  0.001401  0.000076           0.54%
0.029525  0.003802  0.000112           0.80%
