ave_dist = 0.539125
KLDist  weight    KLDist*weight   Percent
0.483448  0.022581  0.010917           2.02%
0.615994  0.022581  0.013910           2.58%
0.455525  0.022581  0.010286           1.91%
0.549787  0.022581  0.012415           2.30%
0.584965  0.029032  0.016983           3.15%
0.397590  0.041935  0.016673           3.09%
0.584351  0.045161  0.026390           4.89%
0.610472  0.045161  0.027570           5.11%
0.445962  0.025806  0.011509           2.13%
0.597999  0.038710  0.023148           4.29%
0.604232  0.025806  0.015593           2.89%
0.573658  0.022581  0.012954           2.40%
0.583716  0.041935  0.024478           4.54%
0.556610  0.041935  0.023342           4.33%
0.496584  0.048387  0.024028           4.46%
0.484153  0.045161  0.021865           4.06%
0.546652  0.035484  0.019397           3.60%
0.571506  0.025806  0.014749           2.74%
0.566746  0.038710  0.021939           4.07%
0.535056  0.022581  0.012082           2.24%
0.626081  0.032258  0.020196           3.75%
0.548180  0.029032  0.015915           2.95%
0.489755  0.029032  0.014219           2.64%
0.511913  0.038710  0.019816           3.68%
0.708009  0.035484  0.025123           4.66%
0.483517  0.029032  0.014038           2.60%
0.570893  0.032258  0.018416           3.42%
0.519132  0.025806  0.013397           2.48%
0.420787  0.035484  0.014931           2.77%
0.429054  0.025806  0.011072           2.05%
0.521535  0.022581  0.011777           2.18%
