ave_dist = 0.297617
KLDist  weight    KLDist*weight   Percent
0.334214  0.023316  0.007793           2.62%
0.296530  0.059585  0.017669           5.94%
0.333874  0.049223  0.016434           5.52%
0.275719  0.025907  0.007143           2.40%
0.263093  0.023316  0.006134           2.06%
0.308045  0.209845  0.064642          21.72%
0.281558  0.038860  0.010941           3.68%
0.299517  0.041451  0.012415           4.17%
0.286837  0.023316  0.006688           2.25%
0.324731  0.119171  0.038698          13.00%
0.278583  0.023316  0.006495           2.18%
0.339949  0.020725  0.007046           2.37%
0.276817  0.038860  0.010757           3.61%
0.288339  0.018135  0.005229           1.76%
0.236919  0.103627  0.024551           8.25%
0.349112  0.023316  0.008140           2.74%
0.300620  0.036269  0.010903           3.66%
0.300094  0.018135  0.005442           1.83%
0.283335  0.054404  0.015415           5.18%
0.321615  0.025907  0.008332           2.80%
0.289480  0.023316  0.006750           2.27%
