ave_dist = 0.027592
BDist  weight    BDist*weight   Percent
0.058377  0.023316  0.001361           4.93%
0.017427  0.059585  0.001038           3.76%
0.034601  0.049223  0.001703           6.17%
0.048394  0.025907  0.001254           4.54%
0.055946  0.023316  0.001304           4.73%
0.003915  0.209845  0.000821           2.98%
0.031732  0.038860  0.001233           4.47%
0.026246  0.041451  0.001088           3.94%
0.042301  0.023316  0.000986           3.57%
0.008384  0.119171  0.000999           3.62%
0.054527  0.023316  0.001271           4.61%
0.054945  0.020725  0.001139           4.13%
0.026919  0.038860  0.001046           3.79%
0.220099  0.018135  0.003991          14.47%
0.010896  0.103627  0.001129           4.09%
0.040964  0.023316  0.000955           3.46%
0.035992  0.036269  0.001305           4.73%
0.053756  0.018135  0.000975           3.53%
0.026430  0.054404  0.001438           5.21%
0.046377  0.025907  0.001201           4.35%
0.057964  0.023316  0.001352           4.90%
