ave_dist = 0.054917
WassDist  weight    WassDist*weight   Percent
0.046193  0.022581  0.001043           1.90%
0.060413  0.022581  0.001364           2.48%
0.046039  0.022581  0.001040           1.89%
0.061598  0.022581  0.001391           2.53%
0.043130  0.029032  0.001252           2.28%
0.055276  0.041935  0.002318           4.22%
0.061038  0.045161  0.002757           5.02%
0.082697  0.045161  0.003735           6.80%
0.065783  0.025806  0.001698           3.09%
0.052048  0.038710  0.002015           3.67%
0.055031  0.025806  0.001420           2.59%
0.054180  0.022581  0.001223           2.23%
0.048340  0.041935  0.002027           3.69%
0.051329  0.041935  0.002153           3.92%
0.042192  0.048387  0.002042           3.72%
0.038161  0.045161  0.001723           3.14%
0.067225  0.035484  0.002385           4.34%
0.074885  0.025806  0.001933           3.52%
0.037020  0.038710  0.001433           2.61%
0.066425  0.022581  0.001500           2.73%
0.056298  0.032258  0.001816           3.31%
0.060420  0.029032  0.001754           3.19%
0.070422  0.029032  0.002044           3.72%
0.048016  0.038710  0.001859           3.38%
0.070912  0.035484  0.002516           4.58%
0.059208  0.029032  0.001719           3.13%
0.042473  0.032258  0.001370           2.49%
0.040572  0.025806  0.001047           1.91%
0.047605  0.035484  0.001689           3.08%
0.062980  0.025806  0.001625           2.96%
0.045469  0.022581  0.001027           1.87%
