ave_dist = 0.039270
WassDist  weight    WassDist*weight   Percent
0.076225  0.023316  0.001777           4.53%
0.035472  0.059585  0.002114           5.38%
0.070100  0.049223  0.003451           8.79%
0.051727  0.025907  0.001340           3.41%
0.055204  0.023316  0.001287           3.28%
0.020556  0.209845  0.004314          10.98%
0.050691  0.038860  0.001970           5.02%
0.035518  0.041451  0.001472           3.75%
0.045553  0.023316  0.001062           2.70%
0.025789  0.119171  0.003073           7.83%
0.057131  0.023316  0.001332           3.39%
0.073798  0.020725  0.001529           3.89%
0.037430  0.038860  0.001455           3.70%
0.109764  0.018135  0.001991           5.07%
0.021056  0.103627  0.002182           5.56%
0.049207  0.023316  0.001147           2.92%
0.052168  0.036269  0.001892           4.82%
0.046067  0.018135  0.000835           2.13%
0.045457  0.054404  0.002473           6.30%
0.053253  0.025907  0.001380           3.51%
0.051238  0.023316  0.001195           3.04%
